LINE,Base,Machine ID
LINE9,417,W/B # 417
LINE9,417,W/B # 417L
LINE9,417,W/B # 417R
LINE9,416,W/B # 416
LINE9,416,W/B # 416L
LINE9,416,W/B # 416R
LINE9,415,W/B # 415
LINE9,415,W/B # 415L
LINE9,415,W/B # 415R
LINE9,414,W/B # 414
LINE9,414,W/B # 414L
LINE9,414,W/B # 414R
LINE9,413,W/B # 413
LINE9,413,W/B # 413L
LINE9,413,W/B # 413R
LINE9,412,W/B # 412
LINE9,412,W/B # 412L
LINE9,412,W/B # 412R
LINE9,411,W/B # 411
LINE9,411,W/B # 411L
LINE9,411,W/B # 411R
LINE9,410,W/B # 410
LINE9,410,W/B # 410L
LINE9,410,W/B # 410R
LINE9,409,W/B # 409
LINE9,409,W/B # 409L
LINE9,409,W/B # 409R
LINE9,408,W/B # 408
LINE9,408,W/B # 408L
LINE9,408,W/B # 408R
LINE8,501,W/B # 501
LINE8,501,W/B # 501L
LINE8,501,W/B # 501R
LINE8,500,W/B # 500
LINE8,500,W/B # 500L
LINE8,500,W/B # 500R
LINE8,499,W/B # 499
LINE8,499,W/B # 499L
LINE8,499,W/B # 499R
LINE8,498,W/B # 498
LINE8,498,W/B # 498L
LINE8,498,W/B # 498R
LINE7,497,W/B # 497
LINE7,497,W/B # 497L
LINE7,497,W/B # 497R
LINE7,496,W/B # 496
LINE7,496,W/B # 496L
LINE7,496,W/B # 496R
LINE7,495,W/B # 495
LINE7,495,W/B # 495L
LINE7,495,W/B # 495R
LINE7,494,W/B # 494
LINE7,494,W/B # 494L
LINE7,494,W/B # 494R
LINE6,493,W/B # 493
LINE6,493,W/B # 493L
LINE6,493,W/B # 493R
LINE6,492,W/B # 492
LINE6,492,W/B # 492L
LINE6,492,W/B # 492R
LINE6,491,W/B # 491
LINE6,491,W/B # 491L
LINE6,491,W/B # 491R
LINE6,490,W/B # 490
LINE6,490,W/B # 490L
LINE6,490,W/B # 490R
LINE6,489,W/B # 489
LINE6,489,W/B # 489L
LINE6,489,W/B # 489R
LINE6,488,W/B # 488
LINE6,488,W/B # 488L
LINE6,488,W/B # 488R
LINE6,487,W/B # 487
LINE6,487,W/B # 487L
LINE6,487,W/B # 487R
LINE6,486,W/B # 486
LINE6,486,W/B # 486L
LINE6,486,W/B # 486R
LINE6,485,W/B # 485
LINE6,485,W/B # 485L
LINE6,485,W/B # 485R
LINE6,484,W/B # 484
LINE6,484,W/B # 484L
LINE6,484,W/B # 484R
LINE5,483,W/B # 483
LINE5,483,W/B # 483L
LINE5,483,W/B # 483R
LINE5,482,W/B # 482
LINE5,482,W/B # 482L
LINE5,482,W/B # 482R
LINE5,481,W/B # 481
LINE5,481,W/B # 481L
LINE5,481,W/B # 481R
LINE5,480,W/B # 480
LINE5,480,W/B # 480L
LINE5,480,W/B # 480R
LINE5,479,W/B # 479
LINE5,479,W/B # 479L
LINE5,479,W/B # 479R
LINE5,478,W/B # 478
LINE5,478,W/B # 478L
LINE5,478,W/B # 478R
LINE5,477,W/B # 477
LINE5,477,W/B # 477L
LINE5,477,W/B # 477R
LINE5,476,W/B # 476
LINE5,476,W/B # 476L
LINE5,476,W/B # 476R
LINE5,475,W/B # 475
LINE5,475,W/B # 475L
LINE5,475,W/B # 475R
LINE5,474,W/B # 474
LINE5,474,W/B # 474L
LINE5,474,W/B # 474R
LINE4,473,W/B # 473
LINE4,473,W/B # 473L
LINE4,473,W/B # 473R
LINE4,472,W/B # 472
LINE4,472,W/B # 472L
LINE4,472,W/B # 472R
LINE4,471,W/B # 471
LINE4,471,W/B # 471L
LINE4,471,W/B # 471R
LINE4,470,W/B # 470
LINE4,470,W/B # 470L
LINE4,470,W/B # 470R
LINE4,469,W/B # 469
LINE4,469,W/B # 469L
LINE4,469,W/B # 469R
LINE4,468,W/B # 468
LINE4,468,W/B # 468L
LINE4,468,W/B # 468R
LINE4,467,W/B # 467
LINE4,467,W/B # 467L
LINE4,467,W/B # 467R
LINE4,466,W/B # 466
LINE4,466,W/B # 466L
LINE4,466,W/B # 466R
LINE4,465,W/B # 465
LINE4,465,W/B # 465L
LINE4,465,W/B # 465R
LINE4,464,W/B # 464
LINE4,464,W/B # 464L
LINE4,464,W/B # 464R
LINE3,463,W/B # 463
LINE3,463,W/B # 463L
LINE3,463,W/B # 463R
LINE3,462,W/B # 462
LINE3,462,W/B # 462L
LINE3,462,W/B # 462R
LINE3,461,W/B # 461
LINE3,461,W/B # 461L
LINE3,461,W/B # 461R
LINE3,460,W/B # 460
LINE3,460,W/B # 460L
LINE3,460,W/B # 460R
LINE3,459,W/B # 459
LINE3,459,W/B # 459L
LINE3,459,W/B # 459R
LINE3,458,W/B # 458
LINE3,458,W/B # 458L
LINE3,458,W/B # 458R
LINE3,457,W/B # 457
LINE3,457,W/B # 457L
LINE3,457,W/B # 457R
LINE3,456,W/B # 456
LINE3,456,W/B # 456L
LINE3,456,W/B # 456R
LINE3,455,W/B # 455
LINE3,455,W/B # 455L
LINE3,455,W/B # 455R
LINE3,454,W/B # 454
LINE3,454,W/B # 454L
LINE3,454,W/B # 454R
LINE2,453,W/B # 453
LINE2,453,W/B # 453L
LINE2,453,W/B # 453R
LINE2,452,W/B # 452
LINE2,452,W/B # 452L
LINE2,452,W/B # 452R
LINE2,451,W/B # 451
LINE2,451,W/B # 451L
LINE2,451,W/B # 451R
LINE2,450,W/B # 450
LINE2,450,W/B # 450L
LINE2,450,W/B # 450R
LINE2,449,W/B # 449
LINE2,449,W/B # 449L
LINE2,449,W/B # 449R
LINE2,448,W/B # 448
LINE2,448,W/B # 448L
LINE2,448,W/B # 448R
LINE2,447,W/B # 447
LINE2,447,W/B # 447L
LINE2,447,W/B # 447R
LINE2,446,W/B # 446
LINE2,446,W/B # 446L
LINE2,446,W/B # 446R
LINE2,445,W/B # 445
LINE2,445,W/B # 445L
LINE2,445,W/B # 445R
LINE2,444,W/B # 444
LINE2,444,W/B # 444L
LINE2,444,W/B # 444R
LINE1,443,W/B # 443
LINE1,443,W/B # 443L
LINE1,443,W/B # 443R
LINE1,442,W/B # 442
LINE1,442,W/B # 442L
LINE1,442,W/B # 442R
LINE1,441,W/B # 441
LINE1,441,W/B # 441L
LINE1,441,W/B # 441R
LINE1,440,W/B # 440
LINE1,440,W/B # 440L
LINE1,440,W/B # 440R
LINE1,439,W/B # 439
LINE1,439,W/B # 439L
LINE1,439,W/B # 439R
LINE1,438,W/B # 438
LINE1,438,W/B # 438L
LINE1,438,W/B # 438R
LINE1,437,W/B # 437
LINE1,437,W/B # 437L
LINE1,437,W/B # 437R
LINE1,436,W/B # 436
LINE1,436,W/B # 436L
LINE1,436,W/B # 436R
LINE1,435,W/B # 435
LINE1,435,W/B # 435L
LINE1,435,W/B # 435R
LINE1,434,W/B # 434
LINE1,434,W/B # 434L
LINE1,434,W/B # 434R